Array,Site_Name,Year,Latitude,Longitude,Start_Date,End_Date,Survey_Nights,Habitat,Development_Level,Humans_Per_Camera,Predator_Occupancy,Humans_Per_Camera_Per_Day_1,Disturbance_1
Tucson,AZ_Desert_BC1_dep1_2022,2022,32.303397,-110.803233,2022-08-18,2022-11-12,86,Desert,Suburban,60,0.0010216989532589307,0.38531942728803714,2.1250379010151184
Tucson,AZ_Desert_LP7_dep1_2022,2022,32.1865,-110.801335,2022-09-11,2022-10-27,46,Desert,Suburban,4,0.004159083962888416,-0.2660128594456308,2.2783683157962633
McDowell,AZ_Desert_McDowell_Sonoran_Preserve_10_2019,2019,33.74075,-111.80756,2019-08-26,2019-10-21,56,Desert,Rural,16,0.0023083414710959715,-0.05403716726362309,1.2660669868059473
McDowell,AZ_Desert_McDowell_Sonoran_Preserve_1_2019,2019,33.74051,-111.8153,2019-08-26,2019-10-21,56,Desert,Rural,7,0.0023083414710959715,-0.22543938711391842,1.3524297826525304
McDowell,AZ_Desert_McDowell_Sonoran_Preserve_20_01_2020,2020,33.73354,-111.81382,2020-09-10,2020-10-26,46,Desert,Rural,11,0.0032706080024905745,-0.10371897011878103,1.744076074671044
McDowell,AZ_Desert_McDowell_Sonoran_Preserve_20_02_2020,2020,33.6997,-111.79261,2020-09-11,2020-10-26,45,Desert,Rural,4,0.0033869268964000277,-0.26395198466052794,-0.80128245599259
McDowell,AZ_Desert_McDowell_Sonoran_Preserve_20_03_2020,2020,33.73341,-111.8083,2020-09-10,2020-10-26,46,Desert,Rural,9,0.0032706080024905745,-0.150088652783596,1.2594948623938642
McDowell,AZ_Desert_McDowell_Sonoran_Preserve_20_04_2020,2020,33.72556,-111.81516,2020-09-10,2020-10-26,46,Desert,Rural,4,0.0032706080024905745,-0.2660128594456308,1.971075376706987
McDowell,AZ_Desert_McDowell_Sonoran_Preserve_20_05_2020,2020,33.72388,-111.80848,2020-09-10,2020-10-26,46,Desert,Rural,4,0.0032706080024905745,-0.2660128594456308,0.9253850546784342
McDowell,AZ_Desert_McDowell_Sonoran_Preserve_20_06_2020,2020,33.71826,-111.81207,2020-09-10,2020-10-26,46,Desert,Rural,6,0.0032706080024905745,-0.2196431767808163,1.971075376706987
McDowell,AZ_Desert_McDowell_Sonoran_Preserve_20_07_2020,2020,33.69793,-111.78978,2020-09-11,2020-10-27,46,Desert,Rural,7,0.0032706080024905745,-0.1964583354484099,-0.80128245599259
McDowell,AZ_Desert_McDowell_Sonoran_Preserve_20_08_2020,2020,33.69004,-111.80097,2020-09-11,2020-10-27,46,Desert,Rural,5,0.0032706080024905745,-0.24282801811322377,1.514274924473411
McDowell,AZ_Desert_McDowell_Sonoran_Preserve_20_10_2020,2020,33.71574,-111.78957,2020-09-10,2020-10-21,41,Desert,Rural,5,0.0037607924110883715,-0.2286909197398049,-0.8767203425886739
McDowell,AZ_Desert_McDowell_Sonoran_Preserve_20_11_2020,2020,33.6969,-111.80902,2020-09-11,2020-10-27,46,Desert,Rural,7,0.0032706080024905745,-0.1964583354484099,1.514274924473411
McDowell,AZ_Desert_McDowell_Sonoran_Preserve_3_2019,2019,33.73351,-111.80827,2019-08-26,2019-10-21,56,Desert,Rural,17,0.0023083414710959715,-0.03499247616914569,1.2594948623938642
McDowell,AZ_Desert_McDowell_Sonoran_Preserve_4_2019,2019,33.7192,-111.81408,2019-08-26,2019-10-21,56,Desert,Rural,22,0.0023083414710959715,0.06023097930324017,1.971075376706987
McDowell,AZ_Desert_McDowell_Sonoran_Preserve_5_2019,2019,33.71981,-111.80666,2019-08-26,2019-10-21,56,Desert,Rural,23,0.0023083414710959715,0.0792756703977175,0.9253850546784342
McDowell,AZ_Desert_McDowell_Sonoran_Preserve_6_2019,2019,33.71222,-111.78917,2019-09-30,2019-10-21,21,Desert,Rural,4,0.007806032289747388,-0.15560885310083578,-0.8767203425886739
Tucson,AZ_Desert_Res2_dep1_2022,2022,32.21555,-110.88875,2022-08-29,2022-11-08,71,Desert,Suburban,14,0.0016996556692417308,-0.1484559174784967,2.510879975841167
Tucson,AZ_Desert_Res5_dep1_2022,2022,32.224438,-110.880844,2022-09-13,2022-10-27,44,Desert,Suburban,29,0.004422603235939907,0.3441700101663549,2.4855925703145023
Tucson,AZ_Desert_SB3_dep1_2022,2022,32.260218,-110.822554,2022-08-23,2022-11-08,77,Desert,Suburban,5,0.0014110062934279302,-0.2894988026135237,2.639933150559821
Sonoran,AZ_Desert_Sonoran_22_DEER 09/01/2022_2022,2022,32.46622,-110.93786,2022-09-01,2022-11-20,80,Desert,Suburban,9,0.008260327284050207,-0.2387706708800525,2.5227394393683915
Sonoran,AZ_Desert_Sonoran_22_DOVE 10/24/2022_2022,2022,32.43822,-110.92892,2022-10-24,2022-11-02,9,Desert,Suburban,2,0.09000485871539332,-0.12175162448843155,-0.05870422805513169
Sonoran,AZ_Desert_Sonoran_22_MALLOW 08/18/2022_2022,2022,32.41753,-110.92402,2022-08-18,2022-11-10,84,Desert,Suburban,38,0.007191106265682674,0.12371328295149701,1.4925140247288446
Sonoran,AZ_Desert_Sonoran_22_Mallow_10-01_2022,2022,32.41753,-110.92402,2022-09-14,2022-09-28,14,Desert,Suburban,3,0.07727884486212785,-0.13021593164153258,1.4925140247288446
Sonoran,AZ_Desert_Sonoran_22_OWL_09-04_2022,2022,32.44865,-110.94195,2022-08-13,2022-09-04,22,Desert,Suburban,2,0.05824688955015202,-0.2617974337488295,2.3030302655804413
Sonoran,AZ_Desert_Sonoran_22_SNIBBY 10/03/2022_2022,2022,32.43584,-110.91683,2022-10-03,2022-11-09,37,Desert,Suburban,2,0.035822813638417814,-0.30110343011089546,0.3440671916382146
Sonoran,AZ_Desert_Sonoran_22_THRASHER_2022,2022,32.44166,-110.94694,2022-10-28,2022-12-02,35,Desert,Suburban,2,0.03863324727087642,-0.2978092132729319,2.3030302655804413
Sonoran,AZ_Desert_Sonoran_23_DAVID_09-23-2023_2023,2023,32.44991,-110.92865,2023-08-27,2023-09-23,27,Desert,Suburban,2,0.048824604326326064,-0.2797520246796497,1.1437912964844552
Sonoran,AZ_Desert_Sonoran_23_DEER_11-11-2023_2023,2023,32.46622,-110.93786,2023-09-16,2023-11-11,56,Desert,Suburban,8,1,-0.20639469601944108,2.5227394393683915
Sonoran,AZ_Desert_Sonoran_23_DOVE_10-29-2023_2023,2023,32.43822,-110.92892,2023-08-20,2023-10-29,70,Desert,Suburban,11,0.011679915158314411,-0.19115894314385956,-0.05870422805513169
Tucson,AZ_Desert_Tucson_AC2_dep1_2022,2022,32.282793,-110.739291,2022-09-07,2022-11-12,66,Desert,Suburban,38,0.0020711772753135593,0.25529478505879494,1.863118025728198
Tucson,AZ_Desert_Tucson_AC3_depl1_2022,2022,32.266866,-110.750661,2022-09-07,2022-11-12,66,Desert,Suburban,5,0.0020711772753135593,-0.2779565655865677,2.120124988500164
Tucson,AZ_Desert_Tucson_AC4_dep1_2022,2022,32.256277,-110.762075,2022-09-07,2022-10-31,54,Desert,Suburban,5,0.0031137992681368122,-0.2600019746557475,2.395268655580435
Tucson,AZ_Desert_Tucson_Res3_dep1_2022,2022,32.277661,-110.866838,2022-09-13,2022-11-23,71,Desert,Suburban,116,0.0016996556692417308,1.3837028928264903,2.4063502312113014
Harrity,AZ_Forest_1001_20220718_2022,2022,31.35955,-110.78466,2022-08-06,2022-09-13,38,Forest,Wild,2,0.011421307865463026,-0.30262050365469456,-0.24755934947488156
SRER2,AZ_Forest_Rural_SRER2_2023_10_2023,2023,31.764158,-110.84574,2023-09-16,2023-11-10,55,Forest,Rural,5,0.1770577457958786,-0.2617974337488295,-0.31545048345281407
SRER2,AZ_Forest_Rural_SRER2_2023_11_2023,2023,31.765504,-110.847265,2023-09-16,2023-11-10,55,Forest,Rural,4,0.1770577457958786,-0.28118839195411544,-0.31545048345281407
SRER2,AZ_Forest_Rural_SRER2_2023_12_2023,2023,31.767271,-110.848459,2023-09-16,2023-11-10,55,Forest,Rural,4,0.1770577457958786,-0.28118839195411544,-0.31545048345281407
SRER2,AZ_Forest_Rural_SRER2_2023_13_2023,2023,31.768643,-110.849972,2023-09-16,2023-11-10,55,Forest,Rural,4,1,-0.28118839195411544,-0.5343078216030909
SRER2,AZ_Forest_Rural_SRER2_2023_15_2023,2023,31.769799,-110.854341,2023-09-16,2023-11-10,55,Forest,Rural,5,1,-0.2617974337488295,-0.5343078216030909
SRER2,AZ_Forest_Rural_SRER2_2023_16_2023,2023,31.770299,-110.857662,2023-10-04,2023-11-10,37,Forest,Rural,2,1,-0.30110343011089546,-0.5343078216030909
SRER2,AZ_Forest_Rural_SRER2_2023_17_2023,2023,31.771313,-110.8595,2023-09-16,2023-09-27,11,Forest,Rural,1,0.5092226113085159,-0.2617974337488295,-0.5343078216030909
SRER2,AZ_Forest_Rural_SRER2_2023_18_2023,2023,31.772663,-110.861052,2023-09-16,2023-11-10,55,Forest,Rural,5,1,-0.2617974337488295,-0.7423025541213186
SRER2,AZ_Forest_Rural_SRER2_2023_19_2023,2023,31.773711,-110.862938,2023-09-16,2023-11-10,55,Forest,Rural,5,1,-0.2617974337488295,-0.7423025541213186
NAU,AZ_Forest_Wild_NAU_Loc1 09/09/2023_2023,2023,34.91187,-111.82684,2023-09-09,2023-11-19,71,Forest,Wild,5,0.00967453420003949,-0.28364640074070097,0.8941978594183836
NAU,AZ_Forest_Wild_NAU_Loc2 09/09/2023_2023,2023,34.89551,-111.83062,2023-09-09,2023-11-17,69,Forest,Wild,6,0.010250051893425005,-0.2660128594456308,0.7023757550035766
NAU,AZ_Forest_Wild_NAU_Loc3_REAL 09/09/2023_2023,2023,34.918,-111.91191,2023-09-09,2023-11-19,71,Forest,Wild,4,0.00967453420003949,-0.29866756554761253,-1.4289933777537023
NAU,AZ_Forest_Wild_NAU_Loc4 09/09/2023_2023,2023,34.89273,-111.8326,2023-09-09,2023-11-19,71,Forest,Wild,4,0.00967453420003949,-0.29866756554761253,1.5053440334580228
NAU,AZ_Forest_Wild_NAU_Loc5 09/09/2023_2023,2023,34.88931,-111.87852,2023-09-09,2023-11-19,71,Forest,Wild,4,0.00967453420003949,-0.29866756554761253,-0.07365195492206324
NAU,AZ_Forest_Wild_NAU_Loc6 09/09/2023_2023,2023,34.91585,-111.91498,2023-09-09,2023-11-19,71,Forest,Wild,5,1,-0.28364640074070097,-1.4289933777537023
NAU,AZ_Forest_Wild_NAU_Loc7 09/09/2023_2023,2023,34.90802,-111.82527,2023-09-09,2023-10-13,34,Forest,Wild,8,0.03401731007959464,-0.10781041270685301,0.8941978594183836
NAU,AZ_Forest_Wild_NAU_Loc8 09/09/2023_2023,2023,34.91466,-111.91675,2023-09-09,2023-11-19,71,Forest,Wild,4,0.00967453420003949,-0.29866756554761253,-1.4289933777537023
NAU,AZ_Forest_Wild_NAU_Loc9_09.30.23_2023,2023,34.90976,-111.82702,2023-09-30,2023-11-19,50,Forest,Wild,287,0.019953398369549877,5.762973280633502,0.8941978594183836
Cienega,AZ_Grassland_Cienega_10_2019,2019,32.16065,-109.497,2019-09-05,2019-11-19,75,Grassland,Wild,8,0.002072716976661333,-0.24499193663758134,-0.798367342272115
Cienega,AZ_Grassland_Cienega_16_2019,2019,32.171217,-109.515533,2019-09-04,2019-11-20,77,Grassland,Wild,8,0.001954369528598629,-0.24794674931648233,-0.7748640583242348
Cienega,AZ_Grassland_Cienega_17_2019,2019,32.180767,-109.517283,2019-09-14,2019-11-22,69,Grassland,Wild,7,0.0024950391180410874,-0.2505562985573592,-0.560627924727777
Cienega,AZ_Grassland_Cienega_1_2019,2019,32.16413,-109.471,2019-09-05,2019-11-20,76,Grassland,Wild,7,0.001954369528598629,-0.2605217128142713,0.12532009459922372
SRER1,AZ_Grassland_Rural_SRER1_2023_1_2023,2023,31.782896,-110.842315,2023-09-16,2023-10-16,30,Grassland,Rural,2,0.009696508581334902,-0.2876520446892107,-0.4411330626578667
SRER1,AZ_Grassland_Rural_SRER1_2023_2_2023,2023,31.78421,-110.8409,2023-09-16,2023-10-14,28,Grassland,Rural,4,0.010479513909939116,-0.20639469601944108,-0.4411330626578667
SRER1,AZ_Grassland_Rural_SRER1_2023_3_2023,2023,31.785685,-110.83941,2023-09-16,2023-10-30,44,Grassland,Rural,3,0.0059653588772161405,-0.2860361315054369,-0.5164058144205886
SRER1,AZ_Grassland_Rural_SRER1_2023_4_2023,2023,31.786767,-110.838234,2023-09-16,2023-10-03,17,Grassland,Rural,2,0.015317507275895799,-0.23328131874105656,-0.5164058144205886
SRER1,AZ_Grassland_Rural_SRER1_2023_5_2023,2023,31.78866,-110.836336,2023-09-16,2023-09-25,9,Grassland,Rural,1,0.019998248324062953,-0.2402519246318453,-0.5216939096476095
SRER1,AZ_Grassland_Rural_SRER1_2023_8_2023,2023,31.793334,-110.831369,2023-09-16,2023-11-10,55,Grassland,Rural,6,0.0039624884071401915,-0.2424064755435437,-0.5216939096476095
SRER1,AZ_Grassland_Rural_SRER1_2023_9_2023,2023,31.791851,-110.829281,2023-09-16,2023-09-28,12,Grassland,Rural,1,0.017998053549092022,-0.2698769996676987,-0.08183626107269683
MTHansen,BAC.AROW_Rec007_Mem088.20190831_2019,2019,48.09068,-112.62233,2019-08-31,2019-11-07,68,Forest,Wild,6,0.01039784669703036,-0.2646490452496068,-0.03519686110312697
MTHansen,BAC.AROW_Rec054_Mem014.20190831_2019,2019,48.08351,-112.62646,2019-08-31,2019-11-07,68,Forest,Wild,4,0.01039784669703036,-0.29601677175815755,-0.03519686110312697
MTHansen,BAC.AROW_Rec055_Mem045.20190901_2019,2019,48.0527,-112.70563,2019-09-01,2019-11-05,65,Forest,Wild,10,1,-0.19467488611514736,-0.31853799068064187
Blackfoot,BAC.BLCH_Rec016_Mem078.20190819_2019,2019,47.06378,-113.08588,2019-08-19,2019-10-24,66,Forest,Wild,5,0.0036039583661990355,-0.2779565655865677,-0.6734463189469327
Blackfoot,BAC.BLCH_Rec037_Mem041.20190819_2019,2019,47.05159,-113.09887,2019-08-19,2019-10-24,66,Forest,Wild,4,0.0036039583661990355,-0.294115697424306,-0.6069679043950867
MTHansen,BAC.HMSA_Rec009_Mem102.20190830_2019,2019,48.10101,-112.66422,2019-08-30,2019-11-07,69,Forest,Wild,9,0.009808825455570581,-0.2196431767808163,0.6917930619874236
MTHansen,BAC.HMSA_Rec062_Mem051.20190831_2019,2019,48.12922,-112.66247,2019-08-31,2019-09-18,18,Forest,Wild,1,0.05751186133433,-0.29950207470355206,0.5654497922265348
MTUrbanWild,BAC.MSLA_Bro001_Mem117.20190729_2019,2019,46.86254,-113.97896,2019-08-17,2019-10-07,51,Forest,Suburban,5,0.003599681805536409,-0.2541931364134233,2.6422904049393763
MTUrbanWild,BAC.MSLA_Bro002_Mem186.20191012_2019,2019,46.82091,-114.03002,2019-10-12,2019-11-19,38,Forest,Suburban,3,0.005706759171276016,-0.27455464309441235,2.3754485437950157
MTUrbanWild,BAC.MSLA_Bro024_Mem174.20191012_2019,2019,46.83493,-114.0057,2019-10-12,2019-11-19,38,Forest,Suburban,206,0.005706759171276016,5.422815050642884,2.781299455930329
MTUrbanWild,BAC.MSLA_Bro026_Mem139.20191012_2019,2019,46.81736,-114.06136,2019-10-12,2019-11-19,38,Forest,Suburban,165,0.005706759171276016,4.272114767671315,2.1431250043844603
MTUrbanWild,BAC.MSLA_Bro039_Mem189.20190718_2019,2019,46.87191,-114.06057,2019-08-17,2019-10-06,50,Forest,Suburban,7,0.0036724273927411528,-0.20944184659455756,2.8473019736684377
MTUrbanWild,BAC.MSLA_Bro046_Mem150.20190820_2019,2019,46.84881,-113.97624,2019-08-20,2019-11-20,92,Forest,Suburban,8,8.47903864852392e-4,-0.2660128594456308,1.961821474698866
MTUrbanWild,BAC.MSLA_Bro052_Mem147.20190910_2019,2019,46.88117,-113.97487,2019-09-10,2019-11-14,65,Forest,Suburban,5,0.002209315203619623,-0.27671355544520326,2.508006145829034
MTUrbanWild,BAC.MSLA_Bro055_Mem187.20190818_2019,2019,46.86875,-113.99052,2019-08-18,2019-10-12,55,Forest,Suburban,677,0.0030497693576863713,12.76892648020329,2.810328103011408
MTUrbanWild,BAC.MSLA_Bro067_Mem159.20191006_2019,2019,46.86777,-114.05781,2019-10-06,2019-11-17,42,Forest,Suburban,2,0.004966418075966562,-0.3079663818566531,2.8473019736684377
MTHansen,BAC.TRMR_Bro033_Mem172.20190830_2019,2019,48.09004,-112.65432,2019-08-30,2019-11-06,68,Forest,Wild,4,0.01039784669703036,-0.29601677175815755,-0.4863919535672006
MTHansen,BAC.TRMR_Bro040_Mem217.20190830_2019,2019,48.07983,-112.72232,2019-08-30,2019-11-06,68,Forest,Wild,4,0.01039784669703036,-0.29601677175815755,-0.21888410908388597
MTHansen,BAC.TRMR_Bro043_Mem148.20190830_2019,2019,48.12199,-112.67567,2019-08-30,2019-11-06,68,Forest,Wild,4,0.01039784669703036,-0.29601677175815755,-0.38267064375342047
MTHansen,BAC.TRMR_Rec001_Mem037.20200831_2020,2020,48.09999,-112.68845,2020-08-31,2020-09-06,6,Forest,Wild,1,0.08229181608021861,-0.18100177456013788,0.2139314159378307
MTHansen,BAC.TRMR_Rec001_Mem174.20210530_2021,2021,48.09999,-112.68845,2021-08-23,2021-10-23,61,Forest,Wild,3,0.013243379881379466,-0.3063012722527643,0.2139314159378307
MTHansen,BAC.TRMR_Rec002_Mem049.20200901_2020,2020,48.08463,-112.65726,2020-09-01,2020-11-01,61,Forest,Wild,3,0.013243379881379466,-0.3063012722527643,-0.4863919535672006
MTHansen,BAC.TRMR_Rec010_Mem073.20200831_2020,2020,48.10738,-112.69267,2020-08-31,2020-11-01,62,Forest,Wild,3,0.012495199100395205,-0.30714725535796594,0.08722415392061761
MTHansen,BAC.TRMR_Rec017_Mem098.20200831_2020,2020,48.11575,-112.6833,2020-08-31,2020-11-01,62,Forest,Wild,9,0.012495199100395205,-0.20393731652337926,-0.13474866759684548
MTHansen,BAC.TRMR_Rec018_Mem030.20200831_2020,2020,48.09874,-112.71037,2020-08-31,2020-10-31,61,Forest,Wild,3,0.013243379881379466,-0.3063012722527643,-0.46622796210131295
MTHansen,BAC.TRMR_Rec027_Mem110.20200831_2020,2020,48.1081,-112.70698,2020-08-31,2020-11-01,62,Forest,Wild,3,0.012495199100395205,-0.30714725535796594,-0.09622431393021401
MTHansen,BAC.TRMR_Rec037_Mem087.20200901_2020,2020,48.08261,-112.63763,2020-09-01,2020-11-01,61,Forest,Wild,6,0.013243379881379466,-0.2538503197302697,-0.4764073450436782
MTHansen,BAC.TRMR_Rec039_Mem094.20200831_2020,2020,48.08772,-112.73944,2020-08-31,2020-10-31,61,Forest,Wild,4,0.013243379881379466,-0.2888176214119328,-0.31012987541519677
MTHansen,BAC.TRMR_Rec040_Mem151.20210529_2021,2021,48.12469,-112.66968,2021-08-23,2021-10-24,62,Forest,Wild,3,0.012495199100395205,-0.30714725535796594,0.5654497922265348
MTHansen,BAC.TRMR_Rec042_Mem088.20200901_2020,2020,48.07277,-112.63412,2020-09-01,2020-11-01,61,Forest,Wild,4,0.013243379881379466,-0.2888176214119328,0.22233832142427717
MTHansen,BAC.TRMR_Rec046_Mem107.20200901_2020,2020,48.08761,-112.67028,2020-09-01,2020-11-01,61,Forest,Wild,3,0.013243379881379466,-0.3063012722527643,-0.06004647785452449
MTHansen,BAC.TRMR_Rec048_Mem093.20200831_2020,2020,48.12314,-112.69136,2020-08-31,2020-11-01,62,Forest,Wild,3,1,-0.30714725535796594,0.16982514196979703
MTHansen,BAC.TRMR_Rec052_Mem038.20200901_2020,2020,48.08859,-112.677,2020-09-01,2020-11-01,61,Forest,Wild,3,0.013243379881379466,-0.3063012722527643,-0.06004647785452449
MTHansen,BAC.TRMR_Rec060_Mem083.20200901_2020,2020,48.1164,-112.66098,2020-09-01,2020-11-01,61,Forest,Wild,5,0.013243379881379466,-0.2713339705711012,0.6955438305514579
Baggs,Baggs_Wild_Grasslands_21_dep_01_2021,2021,41.25946,-107.64845,2021-09-04,2021-10-30,56,Grassland,Wild,3,0.0017522965814369541,-0.3016181514918273,-0.17568713525598195
Baggs,Baggs_Wild_Grasslands_21_dep_01_USE_2021,2021,41.28419,-107.66229,2021-09-04,2021-10-09,35,Grassland,Wild,2,0.0036450325698797288,-0.2978092132729319,-0.27528067912516097
Baggs,Baggs_Wild_Grasslands_21_dep_02_USE_2021,2021,41.28229,-107.66082,2021-09-04,2021-10-31,57,Grassland,Wild,4,0.001653112094527471,-0.2839099299478398,-0.27528067912516097
Baggs,Baggs_Wild_Grasslands_21_dep_03_USE_2021,2021,41.28034,-107.65901,2021-09-04,2021-10-31,57,Grassland,Wild,4,0.001653112094527471,-0.2839099299478398,-0.27528067912516097
Baggs,Baggs_Wild_Grasslands_21_dep_05_USE_2021,2021,41.27278,-107.65516,2021-09-04,2021-10-31,57,Grassland,Wild,4,0.001653112094527471,-0.2839099299478398,-0.5424045699986688
Baggs,Baggs_Wild_Grasslands_21_dep_06_USE_2021,2021,41.27078,-107.65013,2021-09-04,2021-10-31,57,Grassland,Wild,4,0.001653112094527471,-0.2839099299478398,-0.6384223095915418
Baggs,Baggs_Wild_Grasslands_21_dep_08_2021,2021,41.26388,-107.64718,2021-09-04,2021-10-31,57,Grassland,Wild,22,0.001653112094527471,0.05288039677554731,-0.17568713525598195
Baggs,Baggs_Wild_Grasslands_21_dep_10_2021,2021,41.25634,-107.64667,2021-09-04,2021-10-09,35,Grassland,Wild,2,0.0036450325698797288,-0.2978092132729319,-0.17568713525598195
Galena,ID_Forest_Galena_1_2019,2019,43.85301,-114.61059,2019-09-15,2019-10-19,34,Forest,Wild,2,0.009156791232341274,-0.29601677175815755,-1.4068885983286674
Galena,ID_Forest_Galena_4_2019,2019,43.82284,-114.6235,2019-09-15,2019-10-24,39,Forest,Wild,5,0.007968914268118004,-0.22202110922516632,0.9478979832932559
Galena,ID_Forest_Galena_5_2019,2019,43.83664,-114.63902,2019-09-15,2019-10-19,34,Forest,Wild,2,0.009156791232341274,-0.29601677175815755,-1.0670492772739604
Galena,ID_Forest_Galena_6_2019,2019,43.88966,-114.68813,2019-09-01,2019-10-16,45,Forest,Wild,3,0.006471074394274569,-0.2876520446892107,0.39343267735966303
Hailey,ID_Forest_Hailey_1_2019,2019,43.53206,-114.5214,2019-09-01,2019-10-24,53,Forest,Wild,13,1,-0.0971572225718732,-0.9442384109677862
Hailey,ID_Forest_Hailey_2_2019,2019,43.55942,-114.49716,2019-09-01,2019-10-24,53,Forest,Wild,3,0.1507888035152265,-0.29838414734370855,-1.0533110269612815
Hailey,ID_Forest_Hailey_4_2019,2019,43.62649,-114.4029,2019-09-01,2019-10-17,46,Forest,Wild,18,1,0.05857491920806809,-1.2696733471484893
Hailey,ID_Forest_Hailey_5_2019,2019,43.61499,-114.4136,2019-09-01,2019-10-17,46,Forest,Wild,16,0.184876880526923,0.012205236543254231,-0.953241586278368
Hailey,ID_Forest_Hailey_6_2019,2019,43.55825,-114.51784,2019-09-01,2019-09-27,26,Forest,Wild,2,0.311088606386612,-0.27671355544520326,-1.2079980576674374
Hailey,ID_Forest_Hailey_7_2019,2019,43.54676,-114.48647,2019-09-01,2019-10-23,52,Forest,Wild,4,0.15533396497244487,-0.27671355544520326,-0.6926500483323559
Hailey,ID_Forest_Hailey_8_2019,2019,43.54587,-114.4413,2019-09-01,2019-10-24,53,Forest,Wild,6,1,-0.23801606991215843,-0.49752917903202304
Hailey,ID_Forest_Hailey_9_2019,2019,43.58169,-114.4318,2019-09-01,2019-10-17,46,Forest,Wild,4,1,-0.2660128594456308,-1.2143261091664728
Rachlow,ID_Forest_Rachlow_UIEF_22_04_01_2022,2022,46.802438,-116.819905,2022-09-04,2022-10-30,56,Forest,Wild,4,0.0018040533825995052,-0.28257346039735015,-0.22777870672930897
Rachlow,ID_Forest_Rachlow_UIEF_22_07_01_2022,2022,46.802499,-116.82473,2022-09-04,2022-10-30,56,Forest,Wild,4,0.0018040533825995052,-0.28257346039735015,-0.22777870672930897
Rachlow,ID_Forest_Rachlow_UIEF_22_09_01_2022,2022,46.80194,-116.827928,2022-09-04,2022-10-30,56,Forest,Wild,3,0.0018040533825995052,-0.3016181514918273,-0.5282478873747051
Rachlow,ID_Forest_Rachlow_UIEF_22_11_01_2022,2022,46.799473,-116.810692,2022-09-04,2022-10-30,56,Forest,Wild,4,0.0018040533825995052,-0.28257346039735015,-0.5704141294954611
Rachlow,ID_Forest_Rachlow_UIEF_22_15_01_2022,2022,46.794849,-116.807267,2022-09-04,2022-10-30,56,Forest,Wild,3,0.0018040533825995052,-0.3016181514918273,-0.4271061288315528
Rachlow,ID_Forest_Rachlow_UIEF_22_17_01_2022,2022,46.798678,-116.814242,2022-09-04,2022-10-30,56,Forest,Wild,3,0.0018040533825995052,-0.3016181514918273,-0.5704141294954611
